"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"1","(Intercept)",-14.6589846622152,0.823072035208167,-17.8100871310829,0.0000000000000000000000000000000000000000000000000000000000000000000000590178783627039,"whiff","left","fastball"
"2","pitch_speed",0.0979897600803723,0.00889666217615535,11.014216134114,0.000000000000000000000000000326364971717915,"whiff","left","fastball"
"3","pfx_z",1.2224431883743,0.177618633210918,6.88240398135866,0.00000000000588508325787901,"whiff","left","fastball"
"4","pfx_total",-1.1789271930072,0.179416389280479,-6.570900226758,0.0000000000500119641521903,"whiff","left","fastball"
"5","zone1",-0.143727345770348,0.153493009229836,-0.936377145066815,0.349079041018571,"whiff","left","fastball"
"6","zone2",-0.218690687603459,0.117649589759289,-1.85883085568679,0.063051117364224,"whiff","left","fastball"
"7","zone3",-0.112249418186328,0.141518033686929,-0.793181019138872,0.427672364531787,"whiff","left","fastball"
"8","zone4",-0.496858890422874,0.145864071639921,-3.40631441887496,0.000658462993185902,"whiff","left","fastball"
"9","zone6",0.0390085538988804,0.118535580499739,0.329087297960854,0.742089704785818,"whiff","left","fastball"
"10","zone7",-0.458725617306773,0.274804759647771,-1.66927828286068,0.095062242095098,"whiff","left","fastball"
"11","zone8",0.0660731809851785,0.169655734978132,0.389454450176383,0.696939999572394,"whiff","left","fastball"
"12","zone9",-0.0201280941850168,0.191803944118311,-0.104940981675544,0.91642263980714,"whiff","left","fastball"
"13","zone11",0.23452507009775,0.173913354560527,1.34851674093912,0.177492239416101,"whiff","left","fastball"
"14","zone12",-0.123804879595151,0.165918249947865,-0.746179999090234,0.455558688565525,"whiff","left","fastball"
"15","zone13",0.246380202123354,0.290070523945779,0.849380346447779,0.395669685610872,"whiff","left","fastball"
"16","zone14",0.222855313765557,0.208149964770768,1.07064785723593,0.284327796367996,"whiff","left","fastball"
"17","zone16",-1.12423868859289,0.385644078833564,-2.91522351903682,0.0035543388060797,"whiff","left","fastball"
"18","zone17",-8.22231836270515,99.3132400693392,-0.0827917642900829,0.934017117790322,"whiff","left","fastball"
"19","dist_x",0.0446227005364845,0.0556015928561924,0.80254356474816,0.422238598673027,"whiff","left","fastball"
"20","dist_z",1.13844956650323,0.0956123364263302,11.9069317731861,0.0000000000000000000000000000000108911516454171,"whiff","left","fastball"
"21","dist_prop",0.808112046587987,0.256666339097441,3.14849251144379,0.00164114928186181,"whiff","left","fastball"
